shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
C..N04R,364,40.718660,-74.005203
C..N04R,365,40.718732,-74.005189
C..N04R,366,40.718804,-74.005178
C..N04R,367,40.718876,-74.005170
C..N04R,368,40.718949,-74.005166
C..N04R,369,40.719022,-74.005164
C..N04R,370,40.719096,-74.005166
C..N04R,371,40.720785,-74.005230
C..N04R,372,40.720824,-74.005229
C..N04R,373,40.721758,-74.005294
C..N04R,374,40.721824,-74.005299
C..N04R,375,40.721889,-74.005302
C..N04R,376,40.721953,-74.005304
C..N04R,377,40.722016,-74.005304
C..N04R,378,40.722078,-74.005302
C..N04R,379,40.722140,-74.005299
C..N04R,380,40.722201,-74.005293
C..N04R,381,40.722261,-74.005286
C..N04R,382,40.722320,-74.005278
C..N04R,383,40.722379,-74.005267
C..N04R,384,40.722436,-74.005255
C..N04R,385,40.722493,-74.005241
C..N04R,386,40.722549,-74.005225
C..N04R,387,40.722605,-74.005208
C..N04R,388,40.722659,-74.005189
C..N04R,389,40.726227,-74.003739
C..N04R,390,40.728583,-74.002720
C..N04R,391,40.728621,-74.002705
C..N04R,392,40.728661,-74.002689
C..N04R,393,40.728702,-74.002673
C..N04R,394,40.728744,-74.002655
C..N04R,395,40.728787,-74.002637
C..N04R,396,40.728831,-74.002617
C..N04R,397,40.728876,-74.002597
C..N04R,398,40.728922,-74.002575
C..N04R,399,40.728970,-74.002552
C..N04R,400,40.729019,-74.002529
C..N04R,401,40.729068,-74.002504
C..N04R,402,40.729119,-74.002478
C..N04R,403,40.729171,-74.002452
C..N04R,404,40.729225,-74.002424
C..N04R,405,40.729279,-74.002395
C..N04R,406,40.730820,-74.001552
C..N04R,407,40.730845,-74.001539
C..N04R,408,40.730871,-74.001525
C..N04R,409,40.730897,-74.001511
C..N04R,410,40.730922,-74.001497
C..N04R,411,40.730948,-74.001482
C..N04R,412,40.730975,-74.001467
C..N04R,413,40.731001,-74.001451
C..N04R,414,40.731027,-74.001435
C..N04R,415,40.731054,-74.001419
C..N04R,416,40.731080,-74.001402
C..N04R,417,40.731107,-74.001385
C..N04R,418,40.731134,-74.001367
C..N04R,419,40.731161,-74.001349
C..N04R,420,40.731189,-74.001331
C..N04R,421,40.731216,-74.001312
C..N04R,422,40.732312,-74.000515
C..N04R,423,40.732338,-74.000495
C..N04R,424,40.732362,-74.000477
C..N04R,425,40.733324,-73.999777
C..N04R,426,40.733391,-73.999736
C..N04R,427,40.733459,-73.999702
C..N04R,428,40.733527,-73.999674
C..N04R,429,40.733596,-73.999652
C..N04R,430,40.733666,-73.999636
C..N04R,431,40.733736,-73.999626
C..N04R,432,40.733807,-73.999621
C..N04R,433,40.733878,-73.999622
C..N04R,434,40.733949,-73.999629
C..N04R,435,40.734021,-73.999642
C..N04R,436,40.734094,-73.999660
C..N04R,437,40.734167,-73.999685
C..N04R,438,40.734240,-73.999715
